study	title	journal	year_published	model_name	sector_included	target_year	spatial_scope	justice_primary_focus	implicit/explicit_justice	justice_tenet	dimension_of_distribution	equity_factor	equity_principles	point_of_integration	handled_in_model	spatial_scale	link
McKenna et al., 2018	Combining local preferences with multi-criteria decision analysis and linear optimization to develop feasible energy concepts in small communities	European Journal of Operational Research	2018	RE³ASON	energy system	2030	Ebhausen, Germany	No	implicit	procedural, recognition			not defined	storylines, scenarios, input parameters and modelling process	scenarios – combined with MCDA	micro, meso	https://doi.org/10.1016/j.ejor.2018.01.036
Menghwani et al., 2020	Planning with justice: Using spatial modelling to incorporate justice in electricity pricing – The case of Tanzania.	Applied Energy	2020	ONSSET	power system	2030	Tanzania	Yes	explicit	distributional	spatial and societal	electricity prices	equality, equity	model output	post-result modifications	micro	https://doi.org/10.1016/j.apenergy.2020.114749
Neumann, 2021	Costs of regional equity and autarky in a renewable European power system.	Energy Strategy Reviews	2021	PyPSA-Eur	power system	2030	Europe	Yes	explicit	distributional	spatial	allocation of energy technologies	equality	modelling process	equity constraints	meso	https://doi.org/10.1016/j.esr.2021.100652
Neumann & Brown, 2021	The near-optimal feasible space of a renewable power system model.	Electric Power Systems Research	2021	PyPSA-Eur	power system	2030	Europe	No	explicit	distributional	spatial	allocation of energy technologies	equality	modelling process	MGA	meso	https://doi.org/10.1016/j.epsr.2020.106690
Nock et al., 2020	Changing the policy paradigm: A benefit maximization approach to electricity planning in developing countries.	Applied Energy	2020	MEA	power system	uncertain	Liberia	Yes	explicit	distributional	spatial	electricity access	equality	modelling process, model output	inequality aversion parameter		https://doi.org/10.1016/j.apenergy.2020.114583
Patrizio et al., 2018	Reducing US Coal Emissions Can Boost Employment.	Joule	2018	BeWhere-US + JEDI	energy system	2050	The United States	No	implicit			Socio-economic indicators	not defined	modelling process			https://doi.org/10.1016/j.joule.2018.10.004
Patrizio et al., 2020	Socially Equitable Energy System Transitions.	Joule	2020	ESO-X + JEDI	power system	2050	UK, Spain and Poland	Yes	explicit		societal	Socio-economic indicators	maximise GVA	storylines, scenarios, input parameters and modelling process	scenarios – including socio-economic indicators	meso	https://doi.org/10.1016/j.joule.2020.07.010
Pickering et al., 2022	Diversity of Options to Reach Carbon-Neutrality Across the Entire European Energy System	Pre-print	2022	Euro-Calliope	power system	2050	Europe	No	explicit	distributional	spatial	allocation of energy technologies	equality	modelling process	MGA	meso	https://doi.org/10.2139/ssrn.4012180
Price et al., 2020	The implications of landscape visual impact on future highly renewable power systems: A case study for Great Britain.	IEEE Transactions on Power Systems	2020	highRES	power system	2050	Great Britain	No	implicit	distributional	spatial	allocation of wind power	not defined	storylines, scenarios, input parameters	exclusion based on scenicness		https://doi.org/10.1109/TPWRS.2020.2992061
Sasse & Trutnevyte, 2019	Distributional trade-offs between regionally equitable and cost-efficient allocation of renewable electricity generation.	Applied Energy	2019	EXPANSE	power system	2035	Switzerland	Yes	explicit	distributional	spatial	allocation of energy technologies, economic impacts	equality, cost-efficiency	modelling process	MGA	micro, meso	https://doi.org/10.1016/j.apenergy.2019.113724
Sasse & Trutnevyte, 2020	Regional impacts of electricity system transition in Central Europe until 2035.	Nature Communications	2020	EXPANSE + Pypsa-Eur	power system	2035	Austria, Denmark, France, Germany, Poland and Switzerland	Yes	explicit	distributional	spatial	regional impacts	equality, cost-efficiency	modelling process	MGA	micro, meso	https://doi.org/10.1038/s41467-020-18812-y
Schinko et al., 2019	Morocco’s sustainable energy transition and the role of financing costs: A participatory electricity system modeling approach.	Energy, Sustainability and Society	2019	renpassG!S	power system	2050	Morocco	No	implicit	procedural				storylines, scenarios, input parameters	scenarios – influenced by stakeholders	meso	https://doi.org/10.1186/s13705-018-0186-8
Sharma et al., 2020	A new hybrid approach for evaluating technology risks and opportunities in the energy transition in Ireland	Environmental Innovation and Societal Transitions	2020	Irish TIMES	energy system	2050	Ireland	No	implicit	procedural				storylines, scenarios, input parameters	scenarios – influenced by stakeholders	meso	https://doi.org/10.1016/j.eist.2020.01.012
Tröndle et al., 2020	Trade-Offs between Geographic Scale, Cost, and Infrastructure Requirements for Fully Renewable Electricity in Europe.	Joule	2020	Calliope	power system	2050	Europe	No	implicit	distributional	spatial	allocation of energy technologies	equality	model output	contraints for self-sufficiency	meso	https://doi.org/10.1016/j.joule.2020.07.018
Trotter et al., 2019	A multi-criteria, long-term energy planning optimisation model with integrated on-grid and off-grid electrification – The case of Uganda.	Applied Energy	2019	MO-MILP	power system	2040	Uganda	No	explicit								https://doi.org/10.1016/j.apenergy.2019.03.178
Wang et al., 2019	Efficient and equitable allocation of renewable portfolio standards targets among China’s provinces.	Energy Policy	2019		power system	2020	China	Yes	explicit		spatial	allocation of energy technologies	equality, cost-efficiency	storylines, scenarios, input parameters			https://doi.org/10.1016/j.enpol.2018.10.044
Weinand et al., 2021	The impact of public acceptance on cost efficiency and environmental sustainability in decentralized energy systems.	Patterns	2021	RE³ASON	energy system	2050	Germany	No	implicit (uncertain)		spatial	allocation of wind power	equality, cost-efficiency	storylines, scenarios, input parameters	exclusion based on scenicness		https://doi.org/10.1016/j.patter.2021.100301
